,School,Date_announced,In_effect_from,Effective_until,Num_on_day,Precautions,,Src,Unnamed: 7
547,Dartmouth University,3/12/20,3/12/20,5/5/20,134,,,https://news.dartmouth.edu/covid-19/important-updates,
509,Davidson College,3/12/20,3/13/20,6/30/20,135,,,https://www.davidson.edu/alert/covid-19,
167,Delaware State University,3/12/20,3/15/20,4/3/20,136,,,https://www.desu.edu/student-life/student-health-services/coronavirus,
748,Drexel University,3/12/20,3/16/20,6/13/20,137,,,https://drexel.edu/now/coronavirus/response/,
439,Dunwoody College of Technology,3/12/20,3/12/20,4/3/20,138,,,https://dunwoody.edu/campus-life/public-safety/covid19/,
263,Eastern Illinois University,3/12/20,3/12/20,6/30/20,139,,,https://www.eiu.edu/covid/emails.php,
941,Edgewood College,3/12/20,3/23/20,4/6/20,140,,,https://www.edgewood.edu/covid-19,
750,Edinboro University,3/12/20,3/12/20,5/1/20,141,,,https://www.edinboro.edu/directory/offices-services/ehs/ready/coronavirus,
884,Emory and Henry College,3/12/20,3/14/20,3/29/20,142,,,https://wcyb.com/news/local/emory-henry-college-extending-spring-break-due-to-coronavirus,
461,Evangel University,3/12/20,3/14/20,3/30/20,143,,,https://www.evangel.edu/coronavirus/,
415,"Ferris State University, all campuses",3/12/20,3/16/20,3/27/20,144,,,https://www.wzzm13.com/article/news/health/coronavirus/michigan-schools-online-classes-coronavirus/69-1c0fd585-92df-4a6c-a833-48b5823967da,
124,Fort Lewis College,3/12/20,3/16/20,4/6/20,145,,,,
330,Friends University,3/12/20,3/14/20,4/6/20,146,,,https://www.friends.edu/student-life/wellness-therapy/health-wellness-center/coronavirus/,
208,Georgia Institute of Technology,3/12/20,3/12/20,6/30/20,147,,,http://health.gatech.edu/coronavirus,
303,Grace College,3/12/20,3/12/20,4/13/20,148,,,https://www.indystar.com/story/news/education/2020/03/11/coronavirus-indiana-colleges-universities-respond/5021722002/,
416,Grand Rapids Community College,3/12/20,3/16/20,4/3/20,149,,,https://www.wzzm13.com/article/news/health/coronavirus/michigan-schools-online-classes-coronavirus/69-1c0fd585-92df-4a6c-a833-48b5823967da,
241,Grand View University,3/12/20,3/14/20,4/23/20,150,,,https://www.grandview.edu/about/institutional-information/emergency-information,
887,Hampden-Sydney College,3/12/20,3/12/20,6/30/20,151,,,http://www.hsc.edu/news-index/coronovirus-information,
888,Hampton University,3/12/20,3/13/20,4/3/20,152,,,http://news.hamptonu.edu/release/Message-from-the-President-Regarding-the-Coronavirus-COVID-19,
463,Harris-Stowe State University,3/12/20,3/12/20,6/30/20,153,,,http://go.hssu.edu/rsp_content.cfm?wid=74&pid=1845&CFID=8948724&CFTOKEN=23040196,
517,High Point University,3/12/20,3/12/20,6/30/20,154,,,http://www.highpoint.edu/studenthealth/coronavirus/,
418,Hope College,3/12/20,3/12/20,6/30/20,155,,,https://www.wzzm13.com/article/news/health/coronavirus/michigan-schools-online-classes-coronavirus/69-1c0fd585-92df-4a6c-a833-48b5823967da,
842,Houston Community College,3/12/20,3/12/20,3/24/20,156,,,https://www.hccs.edu/resources-for/current-students/communicable-diseases,
165,Howard University,3/12/20,3/16/20,4/6/20,157,,,https://home.howard.edu/corona-virus,
267,Illinois Institute of Technology,3/12/20,3/16/20,6/30/20,158,,,https://www.iit.edu/COVID-19,
244,Iowa Wesleyan University,3/12/20,4/3/20,5/3/20,159,,,https://www.iw.edu/coronavirus-mar-17/,
316,Ivy Tech Community Colleges,3/12/20,3/12/20,4/5/20,160,,,https://www.ivytech.edu/coronavirus.html,
337,Kentucky State University,3/12/20,3/12/20,4/3/20,161,,,https://kysu.edu/2020/03/12/presidential-plain-speak-regarding-ksu-covid-19/,
707,Kenyon College,3/12/20,3/11/20,5/15/20,162,,,https://blogs.kenyon.edu/campus-report/post/covid-19-update-march-17-11-am/,
758,La Salle University,3/12/20,3/16/20,5/7/20,163,,,https://www.lasalle.edu/news/2020/03/19/university-response-to-gov-wolfs-order/,
419,Lake Superior State University,3/12/20,3/16/20,4/17/20,164,,,https://www.wzzm13.com/article/news/health/coronavirus/michigan-schools-online-classes-coronavirus/69-1c0fd585-92df-4a6c-a833-48b5823967da,
942,Lawrence University,3/12/20,3/12/20,6/30/20,165,,,https://blogs.lawrence.edu/covid-19/,
464,Lindenwood University,3/12/20,3/13/20,3/29/20,166,,,https://www.lindenwood.edu/student-life/health-wellness/coronavirus/,
762,Lock Haven University,3/12/20,3/16/20,5/8/20,167,,,http://www.lockhaven.edu/virusinfo/,
891,Longwood University,3/12/20,3/12/20,3/18/20,168,,,http://alerts.longwood.edu/,
272,Loyola University Chicago,3/12/20,3/13/20,6/30/20,169,,,https://www.luc.edu/coronavirus/,
246,Luther College,3/12/20,3/18/20,4/13/20,170,,,https://www.luther.edu/health-service/resources/advisories/,
442,Macalester College,3/12/20,3/11/20,6/30/20,171,,,https://www.macalester.edu/healthandwellness/covid-19/,
628,Mercy College,3/12/20,3/12/20,3/29/20,172,,,https://www.mercy.edu/about-mercy/messages-mercy-college-coronavirus#panel,
521,Meredith College,3/12/20,3/13/20,6/30/20,173,,,https://www.meredith.edu/coronavirus,
444,Metropolitan State University,3/12/20,3/12/20,6/30/20,174,,,https://www.metrostate.edu/notices/covid-19,
468,Missouri University of Science and Technology,3/12/20,3/18/20,4/19/20,175,,,https://econnection.mst.edu/2020/03/covid-19-updates-on-moving-coursework-online-university-travel-events/,
338,Morehead State University,3/12/20,3/16/20,4/4/20,176,,,https://www.moreheadstate.edu/MSU/media/President/CampusUpdate031220.pdf,
247,Morningside College,3/12/20,3/12/20,4/13/20,177,,,https://www.morningside.edu/campus-life-and-arts/campus-safety/morningside-health-update-coronavirus-covid-19/,
217,Morris Brown College,3/12/20,3/12/20,6/30/20,178,,,https://morrisbrown.edu/coronavirus-update/,
248,Muscotine Community College,3/12/20,3/14/20,4/12/20,179,,,https://www.eicc.edu/about-eicc/coronavirus/index.aspx,
634,Nazareth College,3/12/20,3/12/20,6/30/20,180,,,https://www2.naz.edu/news/novel-coronavirus-covid-19-updates-resources-response,
526,North Carolina Wesleyan College,3/12/20,3/14/20,4/3/20,181,,,https://ncwc.edu/alerts/,
45,Northern Arizona University,3/12/20,3/23/20,6/30/20,182,,,https://nau.edu/coronavirus,
279,Northern Illinois University,3/12/20,3/12/20,4/4/20,183,,,https://www.niu.edu/updates/,
725,"Oklahoma State University, Stillwater",3/12/20,3/14/20,5/8/20,184,,,https://go.okstate.edu/coronavirus/latest-announcements/,
726,"Oklahoma State University, Tulsa",3/12/20,3/14/20,5/8/20,185,,,https://go.okstate.edu/coronavirus/latest-announcements/,
469,Ozarks Technical Community College,3/12/20,3/13/20,6/30/20,186,,,https://www.otc.edu/covid/,
768,Pennsylvania College of Technology,3/12/20,3/12/20,6/30/20,187,,,https://www.pct.edu/campus-life/college-health-services/coronavirus,
733,Portland State University,3/12/20,3/13/20,6/30/20,188,,,https://www.pdx.edu/coronavirus-response,
898,Randolph College,3/12/20,3/11/20,3/19/20,189,,,https://www.randolphcollege.edu/news/2020/03/a-message-from-president-bateman-regarding-spring-break-and-returning-to-campus,
126,Regis University,3/12/20,3/16/20,6/30/20,190,,,,
827,Rhodes College,3/12/20,3/16/20,6/30/20,191,,,https://www.rhodes.edu/coronavirus-updates,
282,Rockford University,3/12/20,3/12/20,3/22/20,192,,,https://www.rockford.edu/covid-19-updates/,
502,Rocky Mountain College,3/12/20,3/12/20,6/30/20,193,,,https://www.rocky.edu/sites/default/files/03-12-2020.pdf,
179,Rollins College,3/12/20,3/14/20,5/5/20,194,,,https://emergency.rollins.edu/,
283,Roosevelt University,3/12/20,3/12/20,3/23/20,195,,,https://blogs.roosevelt.edu/coronavirus/2020/03/12/roosevelt-classes-postponed-until-monday-march-23/,
320,Rose-Hulman Institute of Technology,3/12/20,3/13/20,6/30/20,196,,,https://www.rose-hulman.edu/about-us/community-and-public-services/health/March-12-2020-Coronavirus.html,
772,Saint Joseph's University,3/12/20,3/10/20,5/7/20,197,,,https://www.sju.edu/status/coronavirus/students,
249,Scott Community College,3/12/20,3/14/20,4/12/20,198,,,https://www.eicc.edu/about-eicc/coronavirus/index.aspx,
652,Siena College,3/12/20,3/16/20,4/5/20,199,,,https://www.siena.edu/offices/health-services/coronavirus/,
250,Simpson College,3/12/20,3/14/20,6/30/20,200,,,https://simpson.edu/covid19/march17,
873,Snow College,3/12/20,3/23/20,6/30/20,201,,,https://www.snow.edu/offices/safety/coronavirus.html,
806,South Carolina State University,3/12/20,3/12/20,6/30/20,202,,,https://www.scsu.edu/news_article.aspx?news_id=2145,
471,Southeast Missouri State University,3/12/20,3/13/20,3/27/20,203,,,https://semo.edu/sealerts/covid-19.html,
849,Southern Methodist University,3/12/20,3/14/20,4/5/20,204,,,https://blog.smu.edu/coronavirus-covid-19/2020/03/12/smu-will-move-students-from-classrooms-to-online-instruction-for-the-first-two-weeks-following-spring-break/,
350,"Southern University, Baton Rouge",3/12/20,3/16/20,6/30/20,205,,,http://www.subr.edu/news/southern-university-system-campuses-detail-plans-in-response-to-coronavirus-concerns,
351,"Southern University, New Orleans",3/12/20,3/13/20,6/30/20,206,,,http://www.subr.edu/news/southern-university-system-campuses-detail-plans-in-response-to-coronavirus-concerns,
352,"Southern University, Shreveport",3/12/20,3/16/20,6/30/20,207,,,http://www.subr.edu/news/southern-university-system-campuses-detail-plans-in-response-to-coronavirus-concerns,
353,Southern University Agricultural and Research Center,3/12/20,3/13/20,6/30/20,208,,,http://www.subr.edu/news/southern-university-system-campuses-detail-plans-in-response-to-coronavirus-concerns,
472,Southwest Baptist University,3/12/20,3/14/20,3/27/20,209,,,https://www.sbuniv.edu/coronavirus/,
340,Spalding University,3/12/20,3/16/20,4/6/20,210,,,https://www.spalding.edu/coronavirus-disease-information/,
251,St. Ambrose University,3/12/20,3/12/20,3/29/20,211,,,http://sau.edu/covid19,
850,St. Edward's University,3/12/20,3/16/20,4/4/20,212,,,https://www.stedwards.edu/news-center/alerts,
473,St. Louis College of Pharmacy,3/12/20,3/23/20,6/30/20,213,,,https://www.stlcop.edu/covid19/,
452,St. Olaf Univiersity,3/12/20,3/21/20,4/17/20,214,,,https://wp.stolaf.edu/health/covid-19/#202003111713,
853,Stephen F. Austin State University,3/12/20,3/12/20,4/6/20,215,,,http://www.sfasu.edu/life-at-sfa/health-safety/health-clinic/coronavirus,
828,Tennessee State University,3/12/20,3/12/20,6/30/20,216,,,http://www.tnstate.edu/campus_life/tornadorelief.aspx,
856,Texas Southern University,3/12/20,3/16/20,6/30/20,217,,,http://www.tsu.edu/about/administration/marketing-and-communications/announcement%20/announcement.html,
684,Union College,3/12/20,3/15/20,6/30/20,218,,,https://www.union.edu/coronavirus,
252,University of Dubuque,3/12/20,3/12/20,5/14/20,219,,,https://www.dbq.edu/CampusEmergencyNotification/,
321,University of Evansville,3/12/20,3/12/20,3/27/20,220,,,https://www.indystar.com/story/news/education/2020/03/11/coronavirus-indiana-colleges-universities-respond/5021722002/,
156,University of Hartford,3/12/20,3/12/20,6/30/20,221,,,,
322,University of Indianapolis,3/12/20,3/12/20,6/30/20,222,,,https://www.indystar.com/story/news/education/2020/03/11/coronavirus-indiana-colleges-universities-respond/5021722002/,
862,University of Mary Hardin-Baylor,3/12/20,3/12/20,3/22/20,223,,,https://go.umhb.edu/resources/health/coronavirus-information,
831,University of Memphis,3/12/20,3/12/20,6/30/20,224,,,https://www.memphis.edu/health/coronavirus/communication.php,
183,University of Miami,3/12/20,3/11/20,5/6/20,225,,,https://coronavirus.miami.edu/updates-and-messages/index.html,
476,"University of Missouri, Kansas City",3/12/20,3/13/20,6/30/20,226,,,https://www.umkc.edu/news/coronavirus.html,
545,"University of Nebraska, Lincoln",3/12/20,3/16/20,6/30/20,227,,,https://nebraska.edu/news-and-events/news/2020/03/university-of-nebraska-campuses-to-transition-to-remote-learning-after-spring-break,
546,"University of Nebraska, Omaha",3/12/20,3/16/20,6/30/20,228,,,https://nebraska.edu/news-and-events/news/2020/03/university-of-nebraska-campuses-to-transition-to-remote-learning-after-spring-break,
548,University of New Hampshire,3/12/20,3/16/20,4/3/20,229,,,https://www.unh.edu/student-life/student-instruction-covid-19,
728,"University of Oklahoma, Norman",3/12/20,3/14/20,5/8/20,230,,,http://www.ou.edu/coronavirus,
729,"University of Oklahoma, Tulsa",3/12/20,3/14/20,5/8/20,231,,,http://www.ou.edu/coronavirus,
730,University of Oklahoma Health Sciences Center,3/12/20,3/19/20,5/8/20,232,,,https://students.ouhsc.edu/coronavirus,
783,University of Scranton,3/12/20,3/16/20,6/30/20,233,,,https://www.scranton.edu/covid-19/index.shtml,
458,University of St. Thomas,3/12/20,3/14/20,5/22/20,234,,,https://www.stthomas.edu/healthservices/coronavirus/,
188,University of Tampa,3/12/20,3/11/20,5/8/20,235,,,https://www.ut.edu/campus-life/student-services/dickey-health-and-wellness-center/covid-19-resources-and-updates,
863,"University of Texas, Arlington",3/12/20,3/15/20,6/30/20,236,,,https://www.uta.edu/announcements/coronavirus,
865,"University of Texas, Dallas",3/12/20,3/12/20,6/30/20,237,,,https://www.utdallas.edu/coronavirus/,
870,"University of Texas, Tyler",3/12/20,3/11/20,3/29/20,238,,,https://www.uttyler.edu/coronavirus/,
116,University of the Pacific,3/12/20,3/12/20,6/30/20,239,,,,
875,Utah State University,3/12/20,3/13/20,6/30/20,240,,,https://www.usu.edu/today/story/update-for-usu-community-on-coronavirus,
325,Valparaiso University,3/12/20,3/16/20,4/2/20,241,,,https://www.valpo.edu/coronavirus/,
909,Virginia State University,3/12/20,3/16/20,6/30/20,242,,,http://www.vsu.edu/news/news/2020/VSU-Coronavirus-Updates.php,
910,Virginia Union University,3/12/20,3/16/20,6/30/20,243,,,https://www.vuu.edu/coronavirus-2020,
535,Wake Forest University,3/12/20,3/13/20,6/30/20,244,,,https://coronavirus.wfu.edu,
333,Washburn University,3/12/20,3/12/20,6/30/20,245,,,https://www.washburn.edu/student-life/health-safety/index.html,
132,Western Colorado University,3/12/20,3/12/20,4/3/20,246,,,,
294,Western Illinois University,3/12/20,3/14/20,4/3/20,247,,,http://www.wiu.edu/news/newsrelease.php?release_id=17076,
876,Westminster College,3/12/20,3/12/20,3/27/20,248,,,https://westminstercollege.edu/about/resources/risk-management/emergency-notifications/emergency-notifications/2020/03/12/coronavirus-update-from-president-dobkin---march-12-2020,
334,Wichita State University,3/12/20,3/16/20,6/30/20,249,,,https://www.wichita.edu/about/public_information/wsu_topics/topicscovid-19/covid-announcement.php,
788,Widener University,3/12/20,3/12/20,5/8/20,250,,,https://www.widener.edu/coronavirus,
817,Winthrop University,3/12/20,3/16/20,4/3/20,251,,,https://www.winthrop.edu/emergency/coronavirus.aspx,
118,Adams State University,3/12/20,3/23/20,4/3/20,252,,,,
936,Alverno College,3/12/20,3/11/20,3/23/20,253,,,https://www.concord.edu/Student-Life/Student-Health-Wellness/Coronavirus-(1.aspx,
57,"California State University, Dominguez Hills",3/12/20,3/12/20,4/12/20,254,,,,
59,"California State University, Fullerton",3/12/20,3/17/20,4/26/20,255,,,,
61,"California State University, Los Angeles",3/12/20,3/16/20,4/24/20,256,,,,
588,Clarkson University,3/12/20,3/23/20,6/30/20,257,,,https://announcements.clarkson.edu/2020/03/12/updates-on-covid19-online-instruction-after-break-housing-for-students-who-need-to-remain/,
75,Fresno State University,3/12/20,3/16/20,5/22/20,258,,,http://fresnostate.edu/president/coronavirus/,
916,Gonzaga University,3/12/20,3/14/20,5/13/20,259,,,https://www.gonzaga.edu/about/offices-services/emergency-preparedness/zagready/hazard-specific-resources/coronavirus/announcements-messages/important-update-from-president-mcculloh-resumption-of-courses-gonzaga,
273,MacMurray College,3/12/20,3/17/20,5/5/20,260,,,https://www.mac.edu/covid-19,
87,Mills College,3/12/20,3/13/20,5/26/20,261,,,https://www.mills.edu/news/campus-alerts/coronavirus.php,
445,"Minnesota State University, Mankato",3/12/20,3/12/20,3/29/20,262,,,https://mankato.mnsu.edu/about-the-university/news-and-events/covid-19-novel-coronavirus-and-the-campus-community/,
446,"Minnesota State University, Moorhead",3/12/20,3/12/20,3/29/20,263,,,https://www.mnstate.edu/emergency/covid-19/,
215,Morehouse College,3/12/20,3/13/20,4/3/20,264,,,https://aucenter.edu/atlanta-university-center-responds-to-global-coronavirus-outbreak/,
216,Morehouse School of Medicine,3/12/20,3/21/20,6/30/20,265,,,https://aucenter.edu/atlanta-university-center-responds-to-global-coronavirus-outbreak/,
96,Sacramento State University,3/12/20,3/16/20,5/20/20,266,,,https://www.csus.edu/alert/coronavirus.html,
448,Southwest Minnesota State University,3/12/20,3/12/20,3/29/20,267,,,https://mlc-wels.edu/health/coronavirus-information/,
221,Spelman College,3/12/20,3/13/20,4/3/20,268,,,https://aucenter.edu/atlanta-university-center-responds-to-global-coronavirus-outbreak/,
541,University at Jamestown,3/12/20,3/12/20,4/13/20,269,,,https://www.uj.edu/university-news?id=48413,
39,University of Central Arkansas,3/12/20,3/13/20,6/30/20,270,,,https://uca.edu/coronavirus/,
961,University of Charleston,3/12/20,3/18/20,6/30/20,271,,,https://www.ucwv.edu/coronavirus-information/,
962,"University of Charleston, Beckley",3/12/20,3/18/20,6/30/20,272,,,https://www.ucwv.edu/coronavirus-information/,
868,"University of Texas, Rio Grande Valley",3/12/20,3/23/20,6/30/20,273,,,https://www.utrgv.edu/emergencypreparedness/resources/covid-19/,
326,"Vincennes University, all sites",3/12/20,3/12/20,5/15/20,274,,,https://www.vinu.edu/coronavirus-updates,
459,Winona State University,3/12/20,3/12/20,3/29/20,275,,,https://news.winona.edu/16754/spring-break-extended-03-12-20/,
182,Simmons University,3/13/20,3/23/20,Indefinitely,1,Vacate dorms,,,
190,University of Delaware,3/13/20,3/23/20,Indefinitely,2,Vacate dorms,,,
410,Albion College,3/13/20,3/16/20,6/30/20,3,Vacate dorms,,https://www.albion.edu/student-life/health-services/covid-19,
192,Agnes Scott College,3/13/20,3/13/20,4/3/20,4,Vacate dorms,,https://www.agnesscott.edu/coronavirus/index.html,
189,Augustana University,3/13/20,3/23/20,4/10/20,5,,,,
186,Cabrillo Community College,3/13/20,3/16/20,3/29/20,6,,,,
184,Coastal Alabama Community College,3/13/20,3/23/20,4/3/20,7,,,,
185,Humboldt State University,3/13/20,3/26/20,4/17/20,8,,,,
183,"University of Nevada Las Vegas, UNLV",3/13/20,3/27/20,Indefinitely,9,,,,
188,University of San Francisco,3/13/20,3/18/20,End of semester,10,,,,
192,"University of Wisconsin, Platteville",3/13/20,3/13/20,End of semester,11,,,,
191,"University of Wisconsin, River Falls",3/13/20,3/16/20,Indefinitely,12,,,,
3,Bevill State Community College,3/13/20,3/17/20,4/3/20,13,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
4,Bishop State Community College,3/13/20,3/17/20,4/3/20,14,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
5,Calhoun Community College,3/13/20,3/17/20,4/3/20,15,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
6,Central Alabama State Community College,3/13/20,3/17/20,4/3/20,16,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
7,Chattahoochee Valley Community College,3/13/20,3/17/20,4/3/20,17,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
9,Drake State Community and Technical College,3/13/20,3/17/20,4/3/20,18,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
10,Enterprise State Community College,3/13/20,3/17/20,4/3/20,19,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
11,Gadsden State Community College,3/13/20,3/17/20,4/3/20,20,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
12,"Ingram State Technical College, For Incarcerated Adults",3/13/20,3/17/20,4/3/20,21,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
13,Jefferson State Community College,3/13/20,3/17/20,4/3/20,22,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
14,Lawson State Community College,3/13/20,3/17/20,4/3/20,23,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
15,Lurleen B. Wallace Community College,3/13/20,3/17/20,4/3/20,24,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
16,Northeast Alabama Community College,3/13/20,3/17/20,4/3/20,25,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
17,Northwest-Shoals Community College,3/13/20,3/17/20,4/3/20,26,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
19,Reid State Technical College,3/13/20,3/17/20,4/3/20,27,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
21,Shelton State Community College,3/13/20,3/17/20,4/3/20,28,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
22,Snead State Community College,3/13/20,3/17/20,4/3/20,29,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
23,Southern Union State Community College,3/13/20,3/17/20,4/3/20,30,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
25,Trenholm State Community College,3/13/20,3/17/20,4/3/20,31,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
28,"Wallace State Community College, Dothan",3/13/20,3/17/20,4/3/20,32,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
29,"Wallace State Community College, Hanceville",3/13/20,3/17/20,4/3/20,33,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
30,"Wallace State Community College, Selma",3/13/20,3/17/20,4/3/20,34,,,https://www.al.com/news/2020/03/al-community-college-system-moves-23-institutions-online.html,
256,Augustana College,3/13/20,3/14/20,3/29/20,35,,,https://augustana.edu/about-us/news/information-statement-regarding-coronavirus,
822,Austin Peay State University,3/13/20,3/16/20,6/30/20,36,,,https://apsu.edu/coronavirus/,
399,Bates College,3/13/20,3/13/20,6/30/20,37,,,https://www.bates.edu/covid-19/2020/03/13/update-1/,
795,Benedict College,3/13/20,3/16/20,6/30/20,38,,,https://www.benedict.edu/covid-19-update-3-from-the-president/,
258,Black Hawk College,3/13/20,3/16/20,3/30/20,39,,,https://www.bhc.edu/coronavirus-information-and-resources/,
489,Carroll College,3/13/20,3/23/20,6/30/20,40,,,https://www.carroll.edu/article/carroll-moving-fully-online-instruction,
435,College of Saint Benedict,3/13/20,3/13/20,4/13/20,41,,,https://www.csbsju.edu/covid-19,
437,Concordia College Moorhead,3/13/20,3/18/20,6/30/20,42,,,https://www.concordiacollege.edu/directories/offices-departments-directory/emergency/info-covid-19/covid-19-campus-updates/#march13,
491,Dawson Community College,3/13/20,3/13/20,5/14/20,43,,,https://www.dawson.edu/news-events/covid-19-updates.html/article/2020/03/14/dcc-modifying-class-delivery-to-limit-spread-of-covid-19,
460,Drury University,3/13/20,3/14/20,3/30/20,44,,,https://www.drury.edu/panther-clinic/information-regarding-covid-19,
567,Eastern New Mexico University,3/13/20,3/13/20,6/30/20,45,,,https://my.enmu.edu/web/public-safety/coronavirus-information/university-operation-updates,
915,Eastern Washington University,3/13/20,3/16/20,4/6/20,46,,,https://www.ewu.edu/coronavirus/,
512,Elizabeth City State University,3/13/20,3/11/20,6/30/20,47,,,,
139,Fairfield University,3/13/20,3/16/20,3/29/20,48,,,,
492,Flathead Valley Community College,3/13/20,3/16/20,5/14/20,49,,,https://www.fvcc.edu/news/fvcc-cancels-classes-and-events-march-16-29/,
174,Florida Institute of Technology,3/13/20,3/12/20,5/8/20,50,,,https://www.fit.edu/coronavirus/,
329,Fort Hays State University,3/13/20,3/16/20,6/30/20,51,,,https://www.fhsu.edu/student-health/health-alerts,
302,Franklin College,3/13/20,3/18/20,4/5/20,52,,,https://franklincollege.edu/college-temporarily-suspends-in-person-classes-and-activities/,
752,Gannon University,3/13/20,3/16/20,5/8/20,53,,,https://update.gannon.edu,
265,Governors State University,3/13/20,3/13/20,4/4/20,54,,,https://www.govst.edu/coronavirus/,
347,Grambling State University,3/13/20,3/16/20,6/30/20,55,,,https://www.gram.edu/news/?p=8432,
516,Guilford College,3/13/20,3/14/20,5/13/20,56,,,https://www.guilford.edu/coronavirus-response,
440,Gustavus Adolphus College,3/13/20,3/16/20,6/30/20,57,,,https://health.blog.gustavus.edu/2020/03/13/daily-update-march-13-2020/,
441,Hamline University,3/13/20,3/18/20,4/1/20,58,,,https://www.hamline.edu/covid-19,
304,Hanover College,3/13/20,3/13/20,5/1/20,59,,,https://www.hanover.edu/coronavirus,
609,Hobart and William Smith College,3/13/20,3/9/20,6/30/20,60,,,https://www2.hws.edu/covid-19-update-face-to-face-instruction-canceled/,
889,Hollins University,3/13/20,3/13/20,4/10/20,61,,,https://www.hollins.edu/coronavirus-preparedness/,
245,Kirkwood Community College,3/13/20,3/14/20,4/12/20,62,,,https://www.kirkwood.edu/publichealthinfo,
271,Knox College,3/13/20,3/16/20,3/31/20,63,,,https://www.knox.edu/coronavirus-covid-19-information/updates-from-campus/important-information-about-knox-spring-term,
804,Lander University,3/13/20,3/16/20,6/30/20,64,,,https://www.lander.edu/about/coronavirus-covid-19-information,
826,Lane College,3/13/20,3/13/20,6/30/20,65,,,https://www.watchtheyard.com/colleges/lane-college-coronavirus/,
519,Livingstone College,3/13/20,3/13/20,6/30/20,66,,,https://livingstone.edu/category/news/,
348,Louisiana State University,3/13/20,3/16/20,6/30/20,67,,,https://lsu.edu/coronavirus/,
626,Marist College,3/13/20,3/13/20,3/29/20,68,,,https://www.marist.edu/coronavirus-updates,
443,Martin Luther College,3/13/20,3/13/20,4/14/20,69,,,https://mlc-wels.edu/health/coronavirus-information/,
763,Mercyhurst College,3/13/20,3/16/20,5/8/20,70,,,https://www.mercyhurst.edu/covid19,
275,Millikin University,3/13/20,3/16/20,6/30/20,71,,,https://millikin.edu/health/coronavirus-and-covid-19,
556,New Jersey City University,3/13/20,3/16/20,5/13/20,72,,,https://www.njcu.edu/student-life/campus-services-resources/health-wellness-center/university-communications-covid-19,
568,New Mexico Institute of Mining and Technology,3/13/20,3/14/20,5/5/20,73,,,https://nmt.edu/academicaffairs/covid-19/covid-19_AA.php,
805,Newberry College,3/13/20,3/16/20,4/3/20,74,,,https://www.newberry.edu/subpages/index/guidance-on-coronavirus,
276,North Central College,3/13/20,3/16/20,6/30/20,75,,,https://www.info.northcentralcollege.edu/2020/03/12/suspension-of-in-person-classes-campus-will-remain-open/,
277,North Park University,3/13/20,3/13/20,4/9/20,76,,,https://www.northpark.edu/campus-life-and-services/student-success-and-wellness/health-services-center/covid-19/,
278,Northeastern Illinois University,3/13/20,3/16/20,3/29/20,77,,,https://www.neiu.edu/about/coronavirus-response,
895,Nova Southeastern University,3/13/20,3/12/20,4/17/20,78,,,https://www.nova.edu/coronavirus/index.html,
791,Providence College,3/13/20,3/18/20,4/14/20,79,,,https://www.providence.edu/covid-19/#students,
899,Randolph-Macon College,3/13/20,3/13/20,3/27/20,80,,,https://www.rmc.edu/campus-life/student-health-center/covid-19,
447,Saint John's University,3/13/20,3/13/20,4/13/20,81,,,https://www.csbsju.edu/covid-19,
527,Shaw University,3/13/20,3/13/20,6/30/20,82,,,https://www.shawu.edu/University_Statement_on_Coronavirus.aspx,
821,South Dakota State University,3/13/20,3/13/20,3/23/20,83,,,https://www.sdstate.edu/safety-security/emergency-management/coronavirus-updates,
37,Southern Arkansas University,3/13/20,3/16/20,6/30/20,84,,,https://web.saumag.edu/news/2020/sau-moves-to-online-course-delivery-march-30/,
449,St. Catherine's University,3/13/20,3/14/20,6/30/20,85,,,https://www.stkate.edu/newswire/news/community-update-march-12-2020,
